Customer ID,Gender,Age,Under 30,Senior Citizen,Married,Dependents,Number of Dependents,Country,State,City,Zip Code,Latitude,Longitude,Population,Quarter,Referred a Friend,Number of Referrals,Tenure in Months,Offer,Phone Service,Avg Monthly Long Distance Charges,Multiple Lines,Internet Service,Internet Type,Avg Monthly GB Download,Online Security,Online Backup,Device Protection Plan,Premium Tech Support,Streaming TV,Streaming Movies,Streaming Music,Unlimited Data,Contract,Paperless Billing,Payment Method,Monthly Charge,Total Charges,Total Refunds,Total Extra Data Charges,Total Long Distance Charges,Total Revenue,Satisfaction Score,Customer Status,Churn Label,Churn Score,CLTV,Churn Category,Churn Reason,Churn_Risk
8740-CRYFY,Male,62,No,No,No,No,0,United States,California,Sacramento,95823,38.475465,-121.443625,72199,Q3,0,0,1,Offer E,1,23.96,0,Yes,Fiber Optic,22,0,0,0,0,1,0,0,1,Month-to-Month,1,Bank Withdrawal,78.95,78.95,0.0,0,23.96,102.91,2,Churned,Yes,75,2038,Competitor,Competitor offered higher download speeds,0.97
9019-QVLZD,Female,58,No,No,No,No,0,United States,California,Oakland,94602,37.803883,-122.208417,28900,Q3,0,0,1,,1,32.13,0,Yes,Fiber Optic,15,0,0,0,0,1,0,0,0,Month-to-Month,0,Bank Withdrawal,79.55,79.55,0.0,10,32.13,121.68,2,Churned,Yes,81,5082,Competitor,Competitor made better offer,0.93
1455-ESIQH,Male,44,No,No,No,No,0,United States,California,Oakland,94619,37.787186,-122.14633,24518,Q3,0,0,1,,1,16.06,0,Yes,Fiber Optic,3,0,0,0,0,1,1,1,1,Month-to-Month,1,Bank Withdrawal,89.1,89.1,0.0,0,16.06,105.16,2,Churned,Yes,79,2905,Other,Moved,0.94
5077-DXTCG,Female,37,No,No,No,No,0,United States,California,Challenge,95925,39.461768,-121.195825,262,Q3,0,0,1,,1,26.41,0,Yes,Cable,26,0,0,0,0,0,0,0,1,Month-to-Month,1,Bank Withdrawal,45.3,45.3,0.0,0,26.41,71.71,1,Churned,Yes,86,2293,Competitor,Competitor had better devices,0.98
6457-GIRWB,Male,57,No,No,No,No,0,United States,California,Carlsbad,92008,33.148116,-117.306043,35582,Q3,0,0,1,,1,22.03,0,Yes,Fiber Optic,26,0,0,0,0,0,0,0,1,Month-to-Month,1,Bank Withdrawal,69.35,69.35,0.0,0,22.03,91.38,2,Churned,Yes,88,2843,Attitude,Attitude of service provider,0.98
6567-HOOPW,Female,69,No,Yes,No,No,0,United States,California,Folsom,95630,38.672638,-121.147403,51855,Q3,0,0,1,,1,20.06,0,Yes,Fiber Optic,24,0,0,0,0,1,0,0,1,Month-to-Month,1,Bank Withdrawal,79.2,79.2,0.0,0,20.06,99.26,3,Churned,Yes,76,4363,Competitor,Competitor made better offer,0.93
7943-RQCHR,Female,34,No,No,No,No,0,United States,California,Davis,95616,38.508735,-121.678813,67411,Q3,0,0,9,Offer E,1,10.07,1,Yes,Fiber Optic,26,0,0,0,0,1,1,1,0,Month-to-Month,1,Bank Withdrawal,94.75,889.9,0.0,30,90.63,1010.53,2,Churned,Yes,83,2893,Competitor,Competitor offered more data,0.93
7493-TPUWZ,Male,64,No,No,No,No,0,United States,California,Diamond Springs,95619,38.683605,-120.811852,4426,Q3,0,0,1,,1,24.48,1,Yes,Fiber Optic,24,0,1,0,0,0,0,0,1,Month-to-Month,1,Bank Withdrawal,79.15,79.15,0.0,0,24.48,103.63,1,Churned,Yes,85,4243,Competitor,Competitor had better devices,0.96
6502-MJQAE,Male,27,Yes,No,No,No,0,United States,California,Escondido,92027,33.141265,-116.967221,48690,Q3,0,0,1,,1,46.21,0,Yes,Fiber Optic,58,0,0,0,0,0,0,1,1,Month-to-Month,1,Bank Withdrawal,69.6,69.6,0.0,0,46.21,115.81,1,Churned,Yes,87,2072,Competitor,Competitor made better offer,0.85
8380-PEFPE,Male,60,No,No,No,No,0,United States,California,Avalon,90704,33.391181,-118.421305,3699,Q3,0,0,1,,1,17.54,0,Yes,Fiber Optic,16,0,0,0,0,0,0,0,1,Month-to-Month,1,Bank Withdrawal,71.65,71.65,0.0,0,17.54,89.19,1,Churned,Yes,93,2377,Competitor,Competitor had better devices,0.97
3198-VELRD,Female,47,No,No,Yes,No,0,United States,California,Marina Del Rey,90292,33.977468,-118.445475,18058,Q3,1,1,3,,1,38.09,1,Yes,Fiber Optic,30,0,0,0,0,0,1,1,1,Month-to-Month,1,Bank Withdrawal,84.75,264.85,0.0,0,114.27,379.12,1,Churned,Yes,91,2014,Competitor,Competitor had better devices,0.98
1723-HKXJQ,Male,64,No,No,No,No,0,United States,California,San Diego,92120,32.807867,-117.060993,25569,Q3,0,0,42,,1,18.79,1,Yes,Fiber Optic,16,0,1,0,0,1,1,1,1,Month-to-Month,1,Bank Withdrawal,101.75,4273.45,0.0,0,789.18,5062.63,2,Churned,Yes,66,5545,Other,Don't know,0.92
1853-UDXBW,Male,38,No,No,Yes,No,0,United States,California,Samoa,95564,40.809636,-124.189977,395,Q3,1,1,1,,1,38.8,0,Yes,Fiber Optic,4,0,0,0,0,0,0,0,1,Month-to-Month,1,Bank Withdrawal,70.0,70.0,0.0,0,38.8,108.8,2,Churned,Yes,85,2485,Price,Price too high,0.91
0328-GRPMV,Female,43,No,No,No,No,0,United States,California,Burnt Ranch,95527,40.854512,-123.450097,485,Q3,0,0,1,,1,17.37,0,Yes,Fiber Optic,25,0,0,0,0,0,0,0,1,Month-to-Month,1,Bank Withdrawal,70.1,70.1,0.0,0,17.37,87.47,1,Churned,Yes,84,3706,Competitor,Competitor had better devices,0.97
8816-VXNZD,Female,36,No,No,No,No,0,United States,California,Coronado,92118,32.68674,-117.186612,24093,Q3,0,0,1,,1,5.94,1,Yes,Fiber Optic,8,0,0,0,0,0,0,0,1,Month-to-Month,1,Bank Withdrawal,75.1,75.1,0.0,0,5.94,81.03999999999999,2,Churned,Yes,83,4335,Dissatisfaction,Lack of self-service on Website,0.94
1846-XWOQN,Female,80,No,Yes,No,No,0,United States,California,Bradley,93426,35.842889,-121.004862,1363,Q3,0,0,1,,1,47.97,0,Yes,Fiber Optic,8,0,0,0,0,0,0,0,1,Month-to-Month,1,Bank Withdrawal,70.15,70.15,0.0,0,47.97,118.12,2,Churned,Yes,71,2825,Competitor,Competitor made better offer,0.84
2025-JKFWI,Male,31,No,No,No,No,0,United States,California,Burbank,91501,34.188339,-118.300942,18112,Q3,0,0,13,,1,24.14,1,Yes,Fiber Optic,21,0,0,0,1,1,1,1,1,Month-to-Month,1,Credit Card,99.0,1301.7,0.0,0,313.82,1615.52,1,Churned,Yes,81,3493,Price,Lack of affordable download/upload speed,0.92
1363-TXLSL,Male,80,No,Yes,Yes,No,0,United States,California,San Lucas,93954,36.125529,-120.864443,521,Q3,0,0,1,Offer E,1,39.1,0,Yes,Fiber Optic,27,0,0,0,0,0,0,0,1,Month-to-Month,1,Bank Withdrawal,70.3,70.3,0.0,0,39.1,109.4,1,Churned,Yes,91,4962,Competitor,Competitor had better devices,0.99
9300-AGZNL,Male,76,No,Yes,No,No,0,United States,California,Elk Creek,95939,39.53222,-122.594879,587,Q3,0,0,1,,1,21.85,1,Yes,Fiber Optic,29,0,0,0,0,1,1,0,1,Month-to-Month,1,Bank Withdrawal,94.0,94.0,0.0,0,21.85,115.85,1,Churned,Yes,67,4176,Dissatisfaction,Product dissatisfaction,0.99
5494-HECPR,Female,34,No,No,No,No,0,United States,California,Mi Wuk Village,95346,38.121601,-120.133915,1278,Q3,0,0,1,Offer E,1,32.92,0,Yes,Fiber Optic,3,0,0,0,0,1,0,0,1,Month-to-Month,1,Bank Withdrawal,80.25,80.25,0.0,0,32.92,113.17,2,Churned,Yes,69,2502,Other,Moved,0.89
1304-NECVQ,Female,69,No,Yes,No,No,0,United States,California,Somis,93066,34.297628,-119.014627,2966,Q3,0,0,2,Offer E,1,43.96,1,Yes,Fiber Optic,14,0,0,1,0,0,0,0,1,Month-to-Month,1,Bank Withdrawal,78.55,149.55,0.0,0,87.92,237.47000000000003,2,Churned,Yes,92,5203,Competitor,Competitor made better offer,0.99
4415-IJZTP,Female,33,No,No,No,No,0,United States,California,Los Angeles,90027,34.127194,-118.295647,48727,Q3,0,0,1,,1,13.61,1,Yes,Fiber Optic,25,0,0,0,0,0,0,0,1,Month-to-Month,1,Bank Withdrawal,74.5,74.5,0.0,0,13.61,88.11,1,Churned,Yes,69,2016,Competitor,Competitor had better devices,0.98
1740-CSDJP,Male,53,No,No,No,No,0,United States,California,Oakhurst,93644,37.648647,-119.231447,8521,Q3,0,0,1,,0,0.0,0,Yes,DSL,9,0,0,0,0,0,1,1,1,Month-to-Month,1,Bank Withdrawal,35.25,35.25,0.0,0,0.0,35.25,2,Churned,Yes,88,2548,Price,Lack of affordable download/upload speed,0.98
8808-ELEHO,Male,66,No,Yes,No,No,0,United States,California,Modesto,95356,37.716186,-121.025836,26055,Q3,0,0,8,,1,5.02,1,Yes,Fiber Optic,26,0,0,1,0,0,0,0,1,Month-to-Month,1,Bank Withdrawal,81.25,585.95,0.0,0,40.16,626.11,1,Churned,Yes,72,3812,Price,Price too high,0.97
3276-HDUEG,Female,23,Yes,No,No,No,0,United States,California,Temecula,92592,33.507255,-117.029473,46171,Q3,0,0,1,Offer E,1,32.86,1,Yes,Fiber Optic,58,0,0,0,0,0,0,0,1,Month-to-Month,1,Mailed Check,75.05,75.05,0.0,0,32.86,107.91,2,Churned,Yes,78,4838,Competitor,Competitor made better offer,1.0
9897-KXHCM,Female,37,No,No,Yes,No,0,United States,California,Modesto,95357,37.670526,-120.877572,13343,Q3,1,1,3,Offer E,1,48.38,0,Yes,Fiber Optic,14,0,0,0,0,0,1,1,1,Month-to-Month,1,Bank Withdrawal,80.3,250.05,0.0,0,145.14,395.19000000000005,1,Churned,Yes,72,3212,Competitor,Competitor offered higher download speeds,0.93
2260-USTRB,Female,75,No,Yes,No,No,0,United States,California,Campo,91906,32.673483,-116.472863,3133,Q3,0,0,2,,1,9.55,0,Yes,Fiber Optic,28,0,0,0,0,0,0,0,1,Month-to-Month,1,Bank Withdrawal,70.2,115.95,0.0,0,19.1,135.05,1,Churned,Yes,67,2767,Competitor,Competitor offered more data,0.93
6210-KBBPI,Male,67,No,Yes,No,No,0,United States,California,West Covina,91790,34.066964,-117.937007,44099,Q3,0,0,9,,1,10.66,1,Yes,Fiber Optic,15,0,1,0,0,1,1,0,1,Month-to-Month,1,Credit Card,99.45,919.4,0.0,0,95.94,1015.34,1,Churned,Yes,93,2313,Competitor,Competitor had better devices,0.99
7665-TOALD,Female,25,Yes,No,No,No,0,United States,California,Temecula,92592,33.507255,-117.029473,46171,Q3,0,0,1,,1,14.19,0,Yes,Fiber Optic,59,0,0,0,0,0,0,1,1,Month-to-Month,1,Bank Withdrawal,69.6,69.6,0.0,0,14.19,83.78999999999999,1,Churned,Yes,79,2412,Competitor,Competitor made better offer,0.97
2514-GINMM,Male,60,No,No,No,No,0,United States,California,Dana Point,92629,33.477923,-117.705314,27730,Q3,0,0,1,Offer E,1,48.97,0,Yes,Fiber Optic,23,0,0,0,0,1,0,0,0,Month-to-Month,1,Bank Withdrawal,79.5,79.5,0.0,0,48.97,128.47,2,Churned,Yes,92,4490,Attitude,Attitude of service provider,0.94
5445-UTODQ,Female,35,No,No,Yes,No,0,United States,California,San Diego,92117,32.825086,-117.199424,51213,Q3,1,1,7,,1,11.58,0,Yes,Fiber Optic,27,0,0,0,0,1,0,0,1,Month-to-Month,1,Bank Withdrawal,81.1,576.65,0.0,0,81.06,657.71,2,Churned,Yes,87,3238,Competitor,Competitor made better offer,0.99
2636-ALXXZ,Female,68,No,Yes,No,No,0,United States,California,Tahoe Vista,96148,39.24124,-120.054765,678,Q3,0,0,1,Offer E,1,45.8,0,Yes,Fiber Optic,10,0,0,0,0,0,0,0,1,Month-to-Month,1,Bank Withdrawal,69.6,69.6,0.0,0,45.8,115.4,2,Churned,Yes,74,2151,Dissatisfaction,Poor expertise of online support,0.94
1143-NMNQJ,Female,39,No,No,No,No,0,United States,California,Boulder Creek,95006,37.171727,-122.142961,10520,Q3,0,0,2,,1,14.07,1,Yes,Fiber Optic,6,0,0,0,0,0,1,1,1,Month-to-Month,1,Bank Withdrawal,85.7,169.8,0.0,0,28.14,197.94,2,Churned,Yes,95,2187,Attitude,Attitude of service provider,0.97
1084-UQCHV,Male,35,No,No,No,No,0,United States,California,Angelus Oaks,92305,34.1678,-116.86433,301,Q3,0,0,1,Offer E,1,27.97,0,Yes,Fiber Optic,18,0,0,0,0,0,0,0,1,Month-to-Month,0,Bank Withdrawal,69.75,69.75,0.0,0,27.97,97.72,2,Churned,Yes,66,2901,Attitude,Attitude of support person,0.95
3943-KDREE,Female,48,No,No,No,No,0,United States,California,Los Angeles,90010,34.062125,-118.315709,1957,Q3,0,0,26,,1,17.53,1,Yes,Fiber Optic,15,0,0,0,0,0,0,0,1,Month-to-Month,1,Bank Withdrawal,74.95,1834.95,0.0,0,455.78,2290.73,2,Churned,Yes,76,2934,Other,Don't know,0.79
0637-YLETY,Female,39,No,No,No,No,0,United States,California,Douglas City,96024,40.586588,-122.903677,960,Q3,0,0,16,Offer D,1,18.99,1,Yes,Fiber Optic,30,0,1,1,0,0,1,1,1,Month-to-Month,1,Credit Card,95.6,1555.65,0.0,0,303.84,1859.49,1,Churned,Yes,96,5915,Attitude,Attitude of service provider,0.98
7065-YUNRY,Female,28,Yes,No,No,No,0,United States,California,San Diego,92117,32.825086,-117.199424,51213,Q3,0,0,1,,1,39.94,0,Yes,Cable,59,0,0,0,0,0,0,1,1,Month-to-Month,1,Mailed Check,45.3,45.3,0.0,0,39.94,85.24,1,Churned,Yes,69,3049,Competitor,Competitor made better offer,0.83
0742-NXBGR,Female,64,No,No,No,No,0,United States,California,Adin,96006,41.171578,-120.913161,615,Q3,0,0,1,Offer E,1,33.41,0,Yes,Fiber Optic,28,0,1,1,0,0,0,0,1,Month-to-Month,1,Bank Withdrawal,82.3,82.3,0.0,0,33.41,115.71,1,Churned,Yes,71,4278,Competitor,Competitor had better devices,0.84
0495-RVCBF,Female,39,No,No,No,No,0,United States,California,Santa Rosa,95401,38.460517,-122.790335,36125,Q3,0,0,1,,1,33.88,0,Yes,Fiber Optic,26,0,0,0,0,0,1,1,1,Month-to-Month,1,Bank Withdrawal,79.7,79.7,0.0,0,33.88,113.58,3,Churned,Yes,75,2066,Other,Poor expertise of online support,0.88
1415-YFWLT,Female,68,No,Yes,No,No,0,United States,California,Shaver Lake,93664,37.223,-119.001021,642,Q3,0,0,1,Offer E,1,30.23,0,Yes,Fiber Optic,30,0,0,0,0,1,1,0,1,Month-to-Month,1,Bank Withdrawal,89.3,89.3,0.0,0,30.23,119.53,1,Churned,Yes,85,3067,Competitor,Competitor had better devices,0.86
9837-BMCLM,Male,39,No,No,No,No,0,United States,California,Stockton,95202,37.959706,-121.287669,7071,Q3,0,0,3,,1,31.88,0,Yes,Fiber Optic,7,0,0,0,0,1,0,0,1,Month-to-Month,1,Bank Withdrawal,78.5,242.05,0.0,0,95.64,337.69,2,Churned,Yes,71,3567,Price,Long distance charges,0.99
5567-WSELE,Male,70,No,Yes,Yes,No,0,United States,California,Richmond,94801,37.945288,-122.383941,28450,Q3,1,1,3,Offer E,1,32.31,1,Yes,Fiber Optic,27,0,0,0,0,1,1,0,1,Month-to-Month,1,Bank Withdrawal,94.6,279.55,0.0,0,96.93,376.48,1,Churned,Yes,87,3019,Competitor,Competitor had better devices,0.99
7638-QVMVY,Female,63,No,No,No,No,0,United States,California,Visalia,93292,36.37559,-119.211689,30395,Q3,0,0,7,,1,26.09,0,Yes,Fiber Optic,2,0,0,0,0,1,0,0,1,Month-to-Month,1,Bank Withdrawal,79.0,522.95,0.0,0,182.63,705.58,2,Churned,Yes,92,3735,Attitude,Attitude of support person,0.92
7568-PODML,Male,34,No,No,No,No,0,United States,California,Watsonville,95076,36.931654,-121.752383,81141,Q3,0,0,1,,0,0.0,0,Yes,DSL,18,0,0,0,0,1,1,1,1,Month-to-Month,1,Mailed Check,45.3,45.3,0.0,0,0.0,45.3,1,Churned,Yes,69,4954,Competitor,Competitor had better devices,0.98
5956-VKDTT,Female,72,No,Yes,Yes,No,0,United States,California,Moreno Valley,92557,33.970661,-117.255039,46214,Q3,1,4,5,Offer E,1,45.76,1,Yes,Fiber Optic,22,0,0,0,0,0,0,0,1,Month-to-Month,1,Bank Withdrawal,74.35,334.8,0.0,0,228.8,563.6,1,Churned,Yes,82,5273,Dissatisfaction,Product dissatisfaction,0.97
1820-TQVEV,Male,27,Yes,No,No,No,0,United States,California,Madera,93638,37.004068,-119.930027,49247,Q3,0,0,1,Offer E,1,49.43,0,Yes,Fiber Optic,48,0,0,0,0,0,0,1,1,Month-to-Month,1,Bank Withdrawal,69.55,69.55,0.0,0,49.43,118.98,2,Churned,Yes,76,3042,Attitude,Attitude of support person,0.99
0318-QUUOB,Male,25,Yes,No,Yes,No,0,United States,California,Santa Rosa,95403,38.488431,-122.752839,40270,Q3,1,1,1,,1,43.67,0,Yes,Fiber Optic,73,0,0,0,0,1,0,1,0,Month-to-Month,1,Bank Withdrawal,80.55,80.55,0.0,0,43.67,124.22,1,Churned,Yes,91,4273,Competitor,Competitor had better devices,1.0
2074-GKOWZ,Male,49,No,No,Yes,No,0,United States,California,Novato,94947,38.112166,-122.634384,24741,Q3,1,1,2,Offer E,1,8.86,0,Yes,Fiber Optic,23,0,0,0,0,1,1,1,1,Month-to-Month,1,Bank Withdrawal,89.55,185.55,0.0,0,17.72,203.27,1,Churned,Yes,73,3851,Competitor,Competitor had better devices,0.99
3194-ORPIK,Female,59,No,No,Yes,No,0,United States,California,San Diego,92113,32.697098,-117.116587,47431,Q3,1,1,50,,1,35.33,1,Yes,Fiber Optic,17,0,0,0,0,1,0,0,1,Month-to-Month,1,Bank Withdrawal,84.4,4116.15,0.0,0,1766.5,5882.65,1,Churned,Yes,80,5135,Competitor,Competitor had better devices,0.97
1501-SGHBW,Male,34,No,No,No,No,0,United States,California,Guatay,91931,32.857946,-116.561917,796,Q3,0,0,2,,1,19.52,0,Yes,Cable,16,0,0,0,0,0,0,0,1,Month-to-Month,0,Credit Card,45.85,81.0,0.0,0,39.04,120.04,1,Churned,Yes,81,3843,Competitor,Competitor made better offer,0.91
3583-EKAPL,Male,25,Yes,No,No,No,0,United States,California,Redlands,92373,34.003243,-117.138286,31230,Q3,0,0,1,,1,47.22,0,Yes,Cable,53,0,0,0,0,0,1,1,1,Month-to-Month,1,Bank Withdrawal,55.0,55.0,0.0,0,47.22,102.22,1,Churned,Yes,71,4877,Competitor,Competitor had better devices,1.0
3244-DCJWY,Female,27,Yes,No,No,No,0,United States,California,Bakersfield,93312,35.392599,-119.245341,40836,Q3,0,0,1,Offer E,1,23.0,0,Yes,Fiber Optic,59,0,0,0,0,0,0,0,1,Month-to-Month,1,Bank Withdrawal,70.25,70.25,0.0,0,23.0,93.25,1,Churned,Yes,89,4133,Competitor,Competitor had better devices,0.98
4143-OOBWZ,Male,33,No,No,Yes,No,0,United States,California,Fresno,93726,36.793601,-119.761131,39148,Q3,0,0,5,Offer E,1,25.11,1,Yes,Fiber Optic,26,0,1,0,0,0,0,0,1,Month-to-Month,1,Bank Withdrawal,81.3,416.3,0.0,0,125.55,541.85,2,Churned,Yes,91,3819,Attitude,Attitude of service provider,0.97
4078-SAYYN,Female,45,No,No,No,No,0,United States,California,Burbank,91502,34.177267,-118.31003,11517,Q3,0,0,11,,1,48.64,1,Yes,Fiber Optic,28,0,0,1,0,1,1,1,1,Month-to-Month,1,Bank Withdrawal,100.75,1129.75,0.0,0,535.04,1664.79,2,Churned,Yes,65,2229,Price,Long distance charges,0.98
4735-ASGMA,Male,55,No,No,No,No,0,United States,California,Carnelian Bay,96140,39.227434,-120.091806,1943,Q3,0,0,26,,1,40.17,1,Yes,Fiber Optic,27,0,0,1,0,1,1,1,1,Month-to-Month,1,Bank Withdrawal,98.35,2515.3,0.0,0,1044.42,3559.7200000000003,1,Churned,Yes,91,4997,Competitor,Competitor had better devices,0.98
4229-CZMLL,Male,49,No,No,No,No,0,United States,California,Salinas,93901,36.64152,-121.622188,35739,Q3,0,0,6,,1,6.32,1,Yes,Fiber Optic,11,0,0,0,0,0,0,0,1,Month-to-Month,1,Bank Withdrawal,74.9,469.8,0.0,0,37.92,507.72,1,Churned,Yes,87,4160,Dissatisfaction,Service dissatisfaction,0.99
8225-BTJAU,Male,75,No,Yes,No,No,0,United States,California,Stinson Beach,94970,37.921137,-122.657562,781,Q3,0,0,10,Offer D,1,7.51,0,Yes,Fiber Optic,18,0,0,0,0,0,1,0,1,Month-to-Month,1,Bank Withdrawal,79.25,793.55,0.0,0,75.1,868.65,1,Churned,Yes,87,3856,Competitor,Competitor had better devices,0.97
1724-BQUHA,Male,67,No,Yes,No,No,0,United States,California,Los Gatos,95032,37.233034,-121.947427,24443,Q3,0,0,5,,1,45.72,0,Yes,Fiber Optic,6,0,0,0,0,1,1,0,1,Month-to-Month,1,Bank Withdrawal,89.5,477.7,0.0,0,228.6,706.3,2,Churned,Yes,66,2718,Attitude,Attitude of support person,0.78
4826-XTSOH,Male,66,No,Yes,Yes,No,0,United States,California,Moss Landing,95039,36.863303,-121.781632,899,Q3,0,0,1,,1,38.78,1,Yes,Fiber Optic,23,0,0,0,0,1,0,0,1,Month-to-Month,1,Bank Withdrawal,86.05,86.05,0.0,0,38.78,124.83,1,Churned,Yes,96,4843,Competitor,Competitor had better devices,0.96
0841-NULXI,Male,38,No,No,No,No,0,United States,California,Stockton,95209,38.044523,-121.348048,30814,Q3,0,0,1,,0,0.0,0,Yes,DSL,26,0,0,0,0,0,1,1,1,Month-to-Month,1,Bank Withdrawal,35.55,35.55,0.0,0,0.0,35.55,1,Churned,Yes,71,3958,Other,Don't know,0.97
1157-BQCUW,Male,59,No,No,No,No,0,United States,California,Fall River Mills,96028,41.017282,-121.468945,1902,Q3,0,0,1,Offer E,1,30.07,1,Yes,Fiber Optic,26,0,0,0,0,0,0,0,1,Month-to-Month,1,Bank Withdrawal,74.95,74.95,0.0,0,30.07,105.02,1,Churned,Yes,82,2591,Competitor,Competitor had better devices,0.93
1976-CFOCS,Female,69,No,Yes,Yes,No,0,United States,California,Dana Point,92629,33.477923,-117.705314,27730,Q3,1,1,1,,1,7.74,0,Yes,DSL,19,0,0,0,0,0,0,0,1,Month-to-Month,0,Bank Withdrawal,46.0,46.0,0.0,0,7.74,53.74,1,Churned,Yes,67,4531,Competitor,Competitor had better devices,0.82
9747-DDZOS,Female,50,No,No,No,No,0,United States,California,Eldridge,95431,38.348884,-122.51699,363,Q3,0,0,1,,1,3.84,0,Yes,Fiber Optic,2,0,0,1,0,0,0,0,1,Month-to-Month,0,Bank Withdrawal,73.5,73.5,0.0,0,3.84,77.34,2,Churned,Yes,74,4378,Dissatisfaction,Network reliability,0.78
2506-TNFCO,Female,76,No,Yes,Yes,No,0,United States,California,Riverside,92509,34.004379,-117.447864,63999,Q3,1,1,1,,1,12.46,0,Yes,Fiber Optic,22,0,0,0,0,0,0,0,1,Month-to-Month,1,Bank Withdrawal,69.55,69.55,0.0,0,12.46,82.00999999999999,2,Churned,Yes,67,5948,Dissatisfaction,Network reliability,0.82
