Age,Under 30,Senior Citizen,Married,Dependents,Number of Dependents,Population,Referred a Friend,Number of Referrals,Tenure in Months,Offer,Phone Service,Avg Monthly Long Distance Charges,Multiple Lines,Avg Monthly GB Download,Online Security,Online Backup,Device Protection Plan,Premium Tech Support,Streaming TV,Streaming Movies,Streaming Music,Unlimited Data,Paperless Billing,Monthly Charge,Total Charges,Total Refunds,Total Extra Data Charges,Total Long Distance Charges,Total Revenue,Satisfaction Score,Churn,CLTV,Gender_Male,Internet Service_Yes,Internet Type_DSL,Internet Type_Fiber Optic,Internet Type_No Internet,Contract_One Year,Contract_Two Year,Payment Method_Credit Card,Payment Method_Mailed Check
77,No,Yes,Yes,No,0,34902,1,1,24,Offer C,1,16.1,0,12,0,0,1,0,1,1,1,1,1,93.15,2231.05,0.0,0,386.4,2617.4500000000003,2,1,2212,True,True,False,False,False,False,False,False,False
70,No,Yes,No,No,0,34902,0,0,54,Offer B,1,12.08,1,5,1,1,0,1,1,1,1,1,0,82.45,4350.1,0.0,0,652.32,5002.42,1,1,4149,False,True,True,False,False,True,False,False,False
74,No,Yes,No,No,0,34902,0,0,2,Offer E,1,13.17,0,10,0,0,0,0,0,0,0,1,1,70.35,139.05,0.0,0,26.34,165.39,3,1,2671,False,True,False,True,False,False,False,False,False
77,No,Yes,No,No,0,34902,0,0,21,No Offer,0,0.0,0,8,1,0,0,0,1,0,0,1,1,41.9,840.1,0.0,0,0.0,840.1,1,1,4778,False,True,False,False,False,False,False,False,False
71,No,Yes,Yes,No,0,34902,0,0,27,No Offer,0,0.0,0,13,1,0,0,0,0,0,0,0,0,30.75,805.1,0.0,140,0.0,945.1,1,1,2927,True,True,False,False,False,False,False,True,False
79,No,Yes,Yes,No,0,34902,1,1,11,No Offer,1,29.54,0,0,0,0,0,0,0,0,0,0,0,19.95,214.75,0.0,0,324.94,539.69,1,1,5888,True,False,False,False,True,False,False,False,True
66,No,Yes,Yes,No,0,34902,1,2,55,Offer B,1,42.82,1,27,0,1,1,0,0,0,0,0,1,85.45,4874.7,0.0,90,2355.1,7319.799999999999,1,1,5502,False,True,False,True,False,False,False,False,False
77,No,Yes,No,No,0,34902,0,0,3,Offer E,1,9.22,1,14,0,1,0,0,0,0,0,1,1,81.35,233.7,0.0,0,27.660000000000004,261.36,1,1,2818,True,True,False,True,False,False,False,False,False
80,No,Yes,No,No,0,17018,0,0,1,Offer E,1,35.09,0,17,0,0,1,0,0,0,0,0,1,75.3,75.3,0.0,20,35.09,130.39,2,1,4902,False,True,False,True,False,False,False,False,False
77,No,Yes,No,No,0,63999,0,0,5,Offer E,0,0.0,0,26,0,1,0,0,0,0,0,1,0,28.45,131.05,0.0,0,0.0,131.05,2,1,4099,False,True,True,False,False,False,False,False,False
77,No,Yes,No,No,0,39264,0,0,20,No Offer,1,48.73,1,12,0,1,1,0,0,1,0,0,1,94.1,1782.4,0.0,80,974.6,2837.0,1,1,2666,False,True,False,True,False,False,False,False,False
72,No,Yes,Yes,No,0,46214,1,4,5,Offer E,1,45.76,1,22,0,0,0,0,0,0,0,1,1,74.35,334.8,0.0,0,228.8,563.6,1,1,5273,False,True,False,True,False,False,False,False,False
80,No,Yes,Yes,No,0,26357,1,2,27,No Offer,1,7.02,0,25,1,0,0,0,0,0,0,1,1,75.2,1929.35,0.0,0,189.54,2118.89,1,1,4517,False,True,False,False,False,False,False,False,False
74,No,Yes,No,No,0,36301,0,0,4,No Offer,1,48.35,1,24,0,0,1,0,1,0,0,1,1,89.2,346.2,0.0,0,193.4,539.6,1,1,5808,False,True,False,False,False,False,False,False,False
68,No,Yes,No,No,0,1408,0,0,1,No Offer,1,45.81,1,21,0,0,0,0,1,0,0,1,1,85.7,85.7,0.0,0,45.81,131.51,1,1,4880,False,True,False,True,False,False,False,False,False
78,No,Yes,Yes,No,0,20893,1,3,65,Offer B,1,18.39,1,28,1,0,1,0,1,1,0,1,0,105.25,6786.4,0.0,0,1195.35,7981.75,1,1,4196,False,True,False,True,False,False,False,False,False
75,No,Yes,Yes,No,0,576,1,3,49,Offer B,1,22.92,1,14,0,1,0,0,0,1,0,1,0,90.05,4547.25,0.0,0,1123.0800000000002,5670.33,2,1,5059,True,True,False,True,False,False,False,True,False
77,No,Yes,Yes,No,0,31727,1,1,43,Offer B,1,14.52,1,5,0,1,1,1,1,1,0,1,1,110.75,4687.9,0.0,0,624.36,5312.259999999999,2,1,2728,True,True,False,True,False,False,False,False,False
80,No,Yes,Yes,No,0,1054,0,0,56,Offer B,1,48.8,1,12,1,0,1,0,1,1,0,1,1,104.55,5794.65,0.0,0,2732.7999999999997,8527.449999999999,1,1,6268,True,True,False,True,False,True,False,False,False
75,No,Yes,Yes,No,0,191,1,7,20,No Offer,1,5.31,1,10,0,0,0,0,1,1,1,1,1,94.55,1899.65,0.0,0,106.2,2005.85,1,1,5604,True,True,False,True,False,False,False,False,False
69,No,Yes,No,No,0,37280,0,0,2,No Offer,1,47.47,1,19,0,1,0,0,0,1,1,1,0,89.5,161.5,0.0,0,94.94,256.44,2,1,2065,False,True,False,True,False,False,False,False,False
74,No,Yes,No,No,0,626,0,0,8,No Offer,1,27.95,0,0,0,0,0,0,0,0,0,0,0,19.65,164.3,0.0,0,223.6,387.9,2,1,5432,False,False,False,False,True,False,False,False,False
76,No,Yes,No,No,0,46171,0,0,52,No Offer,0,0.0,0,18,0,1,0,0,1,1,1,0,1,49.15,2550.9,0.0,30,0.0,2580.9,2,1,5597,True,True,True,False,False,False,False,False,False
69,No,Yes,No,No,0,47224,0,0,2,No Offer,1,43.99,0,27,1,0,0,0,0,0,0,1,1,49.25,91.1,0.0,0,87.98,179.07999999999998,2,1,3475,True,True,True,False,False,False,False,False,False
72,No,Yes,Yes,No,0,47224,1,1,33,No Offer,1,27.78,1,8,0,0,0,0,1,1,0,1,1,94.5,3105.55,0.0,0,916.74,4022.29,3,1,4333,True,True,False,True,False,False,False,False,False
69,No,Yes,No,No,0,47224,0,0,30,No Offer,1,45.88,1,19,1,1,1,0,0,0,0,1,0,91.7,2758.15,0.0,0,1376.4,4134.55,1,1,2482,False,True,False,True,False,False,False,True,False
73,No,Yes,No,No,0,47224,0,0,20,No Offer,1,44.44,1,13,0,0,1,0,1,1,0,0,1,98.55,1842.8,0.0,120,888.8,2851.6,3,1,5444,True,True,False,True,False,False,False,False,False
65,No,Yes,No,No,0,807,0,0,46,No Offer,1,2.37,1,20,1,1,1,0,1,1,1,1,1,110.0,4874.8,0.0,0,109.02,4983.820000000001,1,1,2403,False,True,False,True,False,True,False,False,False
74,No,Yes,Yes,No,0,26213,1,1,7,No Offer,1,21.91,1,11,0,0,0,0,1,1,0,1,1,95.6,644.35,0.0,0,153.37,797.72,3,1,3265,True,True,False,False,False,False,False,False,False
65,No,Yes,No,No,0,3146,0,0,4,No Offer,1,36.93,0,18,0,0,0,0,1,0,0,1,1,78.85,292.8,0.0,0,147.72,440.52,3,1,5301,False,True,False,True,False,False,False,False,False
66,No,Yes,No,No,0,35790,0,0,55,No Offer,1,37.38,1,7,0,0,1,0,1,1,1,0,1,100.0,5509.3,0.0,100,2055.9,7665.200000000001,3,1,5679,False,True,False,True,False,True,False,False,False
71,No,Yes,Yes,No,0,254,1,1,20,No Offer,1,5.37,0,24,0,1,0,0,0,0,0,1,1,73.65,1463.5,0.0,0,107.4,1570.9,1,1,5849,True,True,False,True,False,False,False,False,False
65,No,Yes,No,No,0,28998,0,0,9,No Offer,1,48.71,1,15,0,0,1,0,1,1,1,1,1,100.5,918.6,0.0,0,438.39,1356.99,1,1,4038,True,True,False,True,False,False,False,False,False
69,No,Yes,No,No,0,13723,0,0,10,No Offer,1,5.46,0,24,0,1,0,0,0,0,0,0,1,72.85,688.65,0.0,30,54.6,773.25,1,1,3189,True,True,False,True,False,False,False,False,False
75,No,Yes,Yes,No,0,30587,0,0,1,No Offer,1,36.92,1,6,0,0,0,0,0,0,0,1,1,73.55,73.55,0.0,0,36.92,110.47,2,1,4369,True,True,False,True,False,False,False,False,False
75,No,Yes,No,No,0,1458,0,0,3,No Offer,1,41.9,1,11,0,1,0,0,0,0,0,1,1,79.4,205.05,0.0,0,125.7,330.75,1,1,3501,False,True,False,True,False,False,False,False,False
68,No,Yes,No,No,0,1723,0,0,4,No Offer,1,6.68,1,17,0,0,0,0,0,1,0,1,1,84.6,360.1,0.0,0,26.72,386.8200000000001,1,1,2467,False,True,False,False,False,False,False,False,False
71,No,Yes,No,No,0,138,0,0,35,No Offer,1,20.83,1,19,0,0,1,0,1,1,0,0,1,99.05,3395.8,0.0,120,729.05,4244.85,1,1,2074,True,True,False,True,False,False,False,False,False
80,No,Yes,No,No,0,10153,0,0,2,Offer E,1,26.62,0,11,0,0,0,0,0,0,0,1,0,44.95,85.15,0.0,0,53.24,138.39,2,1,5900,True,True,True,False,False,False,False,True,False
66,No,Yes,No,No,0,46917,0,0,8,No Offer,1,11.57,0,27,1,0,0,1,1,1,1,1,0,100.3,832.35,0.0,0,92.56,924.91,1,1,5084,True,True,False,True,False,False,False,True,False
73,No,Yes,Yes,No,0,75929,1,2,44,No Offer,0,0.0,0,28,0,1,0,0,0,0,0,1,1,30.35,1359.7,0.0,0,0.0,1359.7,1,1,4829,True,True,False,False,False,False,False,False,False
77,No,Yes,Yes,No,0,63947,1,1,62,No Offer,1,7.11,1,16,0,1,1,0,1,1,1,1,1,103.75,6383.35,0.0,0,440.82,6824.17,1,1,5052,True,True,False,True,False,True,False,False,False
76,No,Yes,Yes,No,0,36669,1,1,33,No Offer,1,33.19,1,15,0,1,0,0,0,0,0,1,1,80.6,2656.5,0.0,0,1095.27,3751.77,2,1,3601,False,True,False,False,False,False,False,False,False
65,No,Yes,No,No,0,44078,0,0,4,Offer E,1,49.5,1,23,0,0,0,0,1,1,1,1,1,94.3,424.45,0.0,0,198.0,622.45,2,1,5419,False,True,False,True,False,False,False,False,False
75,No,Yes,Yes,No,0,28568,1,1,27,No Offer,1,10.6,1,23,0,0,0,0,0,0,0,1,1,75.5,1893.95,0.0,0,286.2,2180.15,1,1,2377,True,True,False,True,False,False,False,False,False
75,No,Yes,No,No,0,21205,0,0,8,Offer E,1,40.45,1,29,0,0,1,0,1,1,0,1,1,100.6,819.4,0.0,0,323.6,1143.0,1,1,5906,True,True,False,True,False,False,False,False,False
68,No,Yes,Yes,No,0,11889,1,1,3,Offer E,1,25.77,0,2,1,0,0,1,1,0,0,1,1,88.3,273.75,0.0,0,77.31,351.06,1,1,4486,False,True,False,True,False,False,False,False,True
71,No,Yes,No,No,0,8157,0,0,8,Offer E,1,42.93,0,9,0,0,1,0,1,1,0,1,1,92.1,729.95,0.0,0,343.44,1073.39,1,1,5662,False,True,False,True,False,False,False,False,False
74,No,Yes,No,No,0,12010,0,0,14,No Offer,1,11.31,0,24,0,0,0,0,1,1,0,1,0,90.45,1266.1,0.0,0,158.34,1424.4399999999998,3,1,4777,True,True,False,True,False,False,False,True,False
77,No,Yes,No,No,0,1025,0,0,12,No Offer,0,0.0,0,10,0,0,1,1,0,1,0,1,1,43.65,526.95,0.0,0,0.0,526.95,1,1,2437,True,True,True,False,False,False,False,False,False
73,No,Yes,No,No,0,4753,0,0,13,No Offer,1,40.37,0,21,0,0,1,0,0,0,0,1,1,74.3,940.35,0.0,0,524.81,1465.16,1,1,2995,False,True,False,True,False,False,False,False,False
68,No,Yes,No,No,0,49968,0,0,11,No Offer,1,3.96,0,27,0,0,0,0,1,1,0,1,0,89.7,1047.7,0.0,0,43.56,1091.26,2,1,2202,False,True,False,True,False,False,False,False,False
74,No,Yes,Yes,No,0,13290,1,1,17,No Offer,1,28.18,1,16,0,0,1,0,1,1,0,1,1,100.45,1622.45,0.0,0,479.06,2101.51,3,1,5508,True,True,False,False,False,False,False,True,False
65,No,Yes,Yes,No,0,32804,1,1,39,No Offer,1,33.25,1,26,0,1,1,0,1,1,1,1,1,105.65,4284.8,0.0,0,1296.75,5581.55,3,1,4687,True,True,False,True,False,False,False,False,False
73,No,Yes,Yes,No,0,15798,1,5,11,No Offer,1,17.25,1,27,0,0,1,1,1,1,0,1,1,104.05,1133.65,0.0,0,189.75,1323.4,3,1,4553,False,True,False,True,False,False,False,False,False
74,No,Yes,Yes,No,0,21,1,1,3,Offer E,1,3.29,0,9,0,0,0,0,1,0,0,1,1,80.4,224.05,0.0,0,9.87,233.92,2,1,3834,False,True,False,True,False,False,False,False,False
80,No,Yes,No,No,0,2144,0,0,21,No Offer,1,34.62,0,14,0,0,1,0,1,0,0,1,1,60.05,1236.15,0.0,0,727.02,1963.17,1,1,4716,True,True,True,False,False,False,False,False,False
76,No,Yes,No,No,0,48690,0,0,16,No Offer,1,38.75,1,16,0,0,0,0,1,1,0,1,1,96.15,1529.2,0.0,0,620.0,2149.2,2,1,5913,False,True,False,True,False,False,False,False,False
73,No,Yes,No,No,0,30173,0,0,46,No Offer,1,6.13,0,30,0,1,0,0,1,1,0,1,0,95.25,4424.2,0.0,0,281.98,4706.18,2,1,3180,False,True,False,True,False,True,False,True,False
70,No,Yes,Yes,No,0,476,1,1,68,Offer A,1,24.13,1,24,0,1,0,0,0,1,0,1,1,89.6,6127.6,0.0,0,1640.84,7768.44,1,1,5651,False,True,False,True,False,False,False,False,False
75,No,Yes,Yes,No,0,2223,1,1,7,Offer E,1,13.63,0,27,0,0,0,0,1,1,0,1,1,89.5,676.7,0.0,0,95.41,772.11,2,1,3077,True,True,False,True,False,False,False,False,False
74,No,Yes,Yes,No,0,261,1,1,15,No Offer,1,45.25,1,22,0,0,0,0,0,1,0,1,1,85.6,1345.55,0.0,0,678.75,2024.3,1,1,4981,True,True,False,False,False,False,False,False,False
76,No,Yes,No,No,0,1689,0,0,16,No Offer,1,19.18,1,22,0,0,0,0,1,0,0,1,1,86.6,1281.0,0.0,0,306.88,1587.88,3,1,2508,True,True,False,True,False,False,False,False,False
75,No,Yes,No,No,0,1447,0,0,1,Offer E,1,29.68,0,18,0,0,0,0,0,0,0,1,1,69.25,69.25,0.0,0,29.68,98.93,2,1,4371,False,True,False,False,False,False,False,False,False
74,No,Yes,No,No,0,3284,0,0,1,No Offer,0,0.0,0,5,0,0,0,0,0,0,0,1,1,25.2,25.2,0.0,0,0.0,25.2,1,1,5688,False,True,False,False,False,False,False,False,False
73,No,Yes,No,No,0,648,0,0,13,No Offer,1,19.03,1,24,0,0,0,0,1,1,1,1,1,95.05,1290.0,0.0,0,247.39,1537.39,1,1,2230,False,True,False,True,False,False,False,False,False
69,No,Yes,No,No,0,51855,0,0,1,No Offer,1,20.06,0,24,0,0,0,0,1,0,0,1,1,79.2,79.2,0.0,0,20.06,99.26,3,1,4363,False,True,False,True,False,False,False,False,False
75,No,Yes,Yes,No,0,844,1,1,34,No Offer,1,2.88,1,4,0,1,1,0,0,1,0,1,1,94.25,3217.55,0.0,0,97.92,3315.4700000000003,1,1,3369,False,True,False,True,False,False,False,False,False
65,No,Yes,No,No,0,901,0,0,4,No Offer,1,12.68,0,10,0,1,1,0,1,1,1,1,1,99.8,442.85,0.0,0,50.72,493.5700000000001,1,1,2268,False,True,False,True,False,False,False,True,False
77,No,Yes,No,No,0,1219,0,0,2,No Offer,1,19.27,1,18,0,0,0,0,1,1,0,1,1,93.85,170.85,0.0,0,38.54,209.39,3,1,4193,False,True,False,True,False,False,False,False,False
67,No,Yes,No,No,0,3600,0,0,9,No Offer,1,30.8,1,18,0,0,0,0,0,1,0,1,1,84.4,732.5,0.0,0,277.2,1009.7,2,1,5745,True,True,False,True,False,False,False,True,False
78,No,Yes,No,No,0,299,0,0,5,No Offer,1,42.33,0,9,0,0,1,0,0,0,0,1,1,75.55,349.65,0.0,0,211.65,561.3,1,1,4028,False,True,False,True,False,False,False,True,False
65,No,Yes,No,No,0,86,0,0,22,Offer D,1,40.18,1,8,0,0,0,0,1,1,1,0,1,96.7,2082.95,0.0,100,883.96,3066.91,1,1,4458,True,True,False,True,False,False,False,False,False
74,No,Yes,No,No,0,614,0,0,19,Offer D,1,39.97,1,9,0,1,0,0,1,0,0,1,1,88.2,1775.8,0.0,0,759.43,2535.23,1,1,5683,True,True,False,True,False,False,False,False,False
70,No,Yes,No,No,0,1351,0,0,15,Offer D,1,46.38,1,19,0,0,0,0,0,0,0,1,0,75.65,1146.65,0.0,0,695.7,1842.35,3,1,2099,True,True,False,True,False,False,False,False,False
69,No,Yes,No,No,0,17922,0,0,1,No Offer,1,11.34,1,20,0,0,0,0,0,0,0,1,1,74.7,74.7,0.0,0,11.34,86.04,1,1,3348,True,True,False,True,False,False,False,False,False
76,No,Yes,No,No,0,17269,0,0,1,No Offer,0,0.0,0,26,0,0,0,0,0,0,0,0,1,25.8,25.8,0.0,20,0.0,45.8,1,1,3884,False,True,True,False,False,False,False,False,True
71,No,Yes,No,No,0,48690,0,0,10,Offer D,1,41.37,1,14,0,0,0,0,1,1,0,1,1,95.35,898.35,0.0,0,413.7,1312.05,1,1,5353,True,True,False,True,False,False,False,False,False
76,No,Yes,No,No,0,42239,0,0,3,No Offer,1,30.14,0,6,0,0,0,0,0,0,0,0,0,45.0,127.1,0.0,10,90.42,227.52,3,1,4145,False,True,True,False,False,False,False,False,False
77,No,Yes,Yes,No,0,1845,1,1,12,Offer D,1,6.97,0,19,0,0,0,0,0,1,0,1,1,80.45,950.2,0.0,0,83.64,1033.84,2,1,5374,True,True,False,True,False,False,False,False,False
74,No,Yes,No,No,0,4931,0,0,2,No Offer,1,6.51,0,11,0,1,0,0,0,0,0,1,1,74.7,165.4,0.0,0,13.02,178.42000000000002,2,1,2803,True,True,False,True,False,False,False,False,False
77,No,Yes,No,No,0,459,0,0,1,No Offer,1,49.6,1,20,0,0,1,0,1,0,0,0,1,88.8,88.8,0.0,10,49.6,148.4,1,1,3106,True,True,False,True,False,False,False,False,False
76,No,Yes,Yes,No,0,28201,1,1,13,Offer D,1,1.47,0,5,0,1,0,1,0,1,0,1,1,89.05,1169.35,0.0,0,19.11,1188.4599999999998,1,1,3861,True,True,False,True,False,False,False,False,False
77,No,Yes,No,No,0,28201,0,0,23,Offer D,1,31.17,0,23,0,1,0,0,1,1,0,1,1,94.75,2293.6,0.0,0,716.9100000000001,3010.51,2,1,2740,False,True,False,True,False,False,False,False,False
80,No,Yes,Yes,No,0,28201,1,1,17,Offer D,1,36.82,1,6,1,0,1,0,0,0,0,1,1,85.35,1463.45,0.0,0,625.94,2089.3900000000003,1,1,3209,False,True,False,True,False,False,False,False,False
68,No,Yes,No,No,0,28201,0,0,17,No Offer,1,40.93,0,2,0,0,0,0,0,0,0,1,1,45.05,770.6,0.0,0,695.81,1466.41,1,1,3797,True,True,True,False,False,False,False,False,False
79,No,Yes,No,No,0,28201,0,0,42,No Offer,1,9.53,1,17,0,0,0,0,1,0,0,1,1,84.65,3541.35,0.0,0,400.26,3941.61,2,1,4871,False,True,False,True,False,False,False,False,False
65,No,Yes,No,No,0,28201,0,0,1,No Offer,1,42.3,0,16,0,0,0,0,1,0,0,1,1,79.1,79.1,0.0,0,42.3,121.4,3,1,5001,True,True,False,True,False,False,False,False,False
68,No,Yes,No,No,0,4258,0,0,1,Offer E,1,39.78,0,12,0,0,1,0,0,0,0,1,1,50.15,50.15,0.0,0,39.78,89.93,2,1,3438,True,True,False,False,False,False,False,False,True
72,No,Yes,No,No,0,18693,0,0,1,Offer E,1,34.51,0,15,0,0,0,0,0,0,0,1,1,69.6,69.6,0.0,0,34.51,104.11,1,1,3438,False,True,False,True,False,False,False,False,False
66,No,Yes,No,No,0,44442,0,0,41,No Offer,1,27.95,1,23,1,1,1,0,1,1,1,1,1,113.2,4689.5,0.0,0,1145.95,5835.45,1,1,3380,False,True,False,True,False,False,False,False,False
68,No,Yes,No,No,0,33528,0,0,13,No Offer,1,26.11,0,4,0,0,0,0,1,1,1,0,1,90.5,1201.15,29.84,140,339.43,1650.7400000000002,1,1,5394,True,True,False,True,False,False,False,False,False
69,No,Yes,Yes,No,0,63136,1,1,32,No Offer,1,5.99,1,23,0,0,0,0,0,1,1,1,1,85.0,2642.05,49.57,0,191.68,2784.16,1,1,4584,True,True,False,True,False,False,False,False,False
76,No,Yes,Yes,No,0,23984,1,1,32,No Offer,1,49.6,1,10,0,0,0,0,0,1,1,1,0,85.3,2661.1,0.0,0,1587.2,4248.3,1,1,2712,True,True,False,True,False,False,False,False,False
70,No,Yes,Yes,No,0,21990,1,1,57,No Offer,0,0.0,0,3,0,0,0,0,1,1,1,1,1,44.85,2572.95,12.07,0,0.0,2560.8799999999997,2,1,5172,True,True,False,False,False,False,False,False,False
71,No,Yes,No,No,0,17015,0,0,1,Offer E,1,15.28,0,14,0,0,0,0,0,0,0,1,0,45.1,45.1,0.0,0,15.28,60.38,2,1,4499,True,True,False,False,False,False,False,False,False
75,No,Yes,No,No,0,68018,0,0,1,Offer E,0,0.0,0,26,0,1,1,0,0,1,0,1,1,43.3,43.3,0.0,0,0.0,43.3,3,1,4972,True,True,True,False,False,False,False,False,False
67,No,Yes,No,No,0,81986,0,0,38,No Offer,1,26.1,0,27,1,1,0,0,0,0,0,1,1,57.15,2250.65,0.0,0,991.8,3242.4500000000003,1,1,3110,False,True,True,False,False,False,False,True,False
65,No,Yes,Yes,No,0,11517,1,1,35,No Offer,1,15.98,1,22,1,1,0,1,1,0,0,1,1,100.5,3653.35,0.0,0,559.3000000000001,4212.65,1,1,4745,False,True,False,False,False,False,False,False,False
80,No,Yes,No,No,0,45358,0,0,1,Offer E,1,15.24,0,14,0,0,0,0,0,0,0,1,0,45.1,45.1,0.0,0,15.24,60.34,1,1,2740,False,True,True,False,False,False,False,True,False
71,No,Yes,Yes,No,0,75319,1,1,30,No Offer,1,4.65,0,29,0,1,0,0,0,0,0,1,1,50.4,1527.5,0.0,0,139.5,1667.0,3,1,4795,True,True,True,False,False,False,False,False,False
70,No,Yes,No,No,0,34716,0,0,5,Offer E,1,12.27,0,20,0,0,0,0,0,1,0,1,0,78.95,378.4,0.0,0,61.349999999999994,439.75,3,1,4054,False,True,False,True,False,False,False,False,False
73,No,Yes,No,No,0,51213,0,0,1,Offer E,1,30.17,1,6,0,0,0,0,1,1,0,1,1,93.55,93.55,0.0,0,30.17,123.72,1,1,5536,True,True,False,True,False,False,False,False,False
78,No,Yes,Yes,No,0,51213,1,1,58,No Offer,1,49.38,1,19,1,1,1,0,1,1,0,1,1,108.85,6287.25,0.0,0,2864.04,9151.29,1,1,4739,True,True,False,True,False,True,False,False,False
76,No,Yes,No,No,0,51213,0,0,16,No Offer,1,17.51,1,7,0,0,0,0,1,0,0,1,1,84.75,1350.15,0.0,0,280.16,1630.3100000000002,2,1,5136,False,True,False,True,False,False,False,False,False
73,No,Yes,No,No,0,51213,0,0,1,Offer E,1,22.5,0,27,0,0,0,0,0,0,0,0,1,69.95,69.95,0.0,10,22.5,102.45,2,1,3208,False,True,False,True,False,False,False,False,False
